State	Area
Alaska	570641
Texas	261914
California	155973
Montana	145556
New Mexico	121365
Arizona	113642
Nevada	109806
Colorado	103730
Wyoming	97105
Oregon	96003
Idaho	82751
Utah	82168
Kansas	81823
Minnesota	79617
Nebraska	76878
South Dakota	75898
North Dakota	68994
Missouri	68898
Oklahoma	68679
Washington	66582
Georgia	57919
Michigan	56539
Iowa	55875
Illinois	55593
Wisconsin	54314
Florida	53997
Arkansas	52075
Alabama	50750
North Carolina	48718
New York	47224
Mississippi	46914
Pennsylvania	44820
Louisiana	43566
Tennessee	41220
Ohio	40953
Kentucky	39732
Virginia	39598
Indiana	35870
Maine	30865
South Carolina	30111
West Virginia	24087
Maryland	9775
Vermont	9249
New Hampshire	8969
Massachusetts	7838
New Jersey	7419
Hawaii	6423
Connecticut	4845
Delaware	1955
Rhode Island	1034
